Basvuru Tarihi	Baþvuru Numarasý	Buluþ Baþlýðý	Buluþ Sahibi	Proje Kodu	Proje Ýsmi	Ýlgili olduðu Ürün&Servisler	Özet
2012	2012/07606	GSM ÞEBEKE EKÝPMANLARINA MERKEZÝ ZAMANLANMIÞ BAÐLANTI ALTYAPISI	YAKUP TARIK KRANDA-AYTAÇ ÖZAY				Buluþumuz kapsamýnda, GSM þebeke ekipmanlarýna (MSC, BSC, MGW, RNC, vs...) ulaþarak onlara komut göndermek suretiyle çeþitli görüntüleme ve/veya aksiyon aldýrma iþlemlerinde kullanýlacak yöntem ve protokollerin tek bir noktada toplayacak servis tabanlý, güvenli, tekrarlý komut gönderiminin önüne geçecek, zamanlanmýþ bir sistem önerilmektedir. Önerilen bu sistem ile þebekedeki aksaklýklarý, ekipman durumlarýný vs izlemek için geliþtirilen yazýlým araç ve scriptleri tekrarlý kod geliþtirmeden, bu sistemin mevcut servis altyapýsýný kullanarak ilgili ekipmanlara baðlanabilecektir. Tüm baðlantý iþlemleri ve komut gönderme adýmlarý loglanarak, uygulamalarýn servis üzerinden bu ekipmanlara eriþimi kontrol altýna alýnacaktýr. Gönderilen komutlara karþýlýk elde edilen çýktýlar belirli bir süre veritabaný veya ön bellek seviyesinde saklanarak benzeri verilere ulaþmak isteyen uygulamalarýn bu ekipmanlara tekrar yük bindirmesini önlemek amacýyla daha önceden elde edilmiþ veriler ile geri dönülecebilecektir. Sistemde zamanlanmýþ görevler yaratýlarak istenilen þebeke ekipmanlarý ile istenilen zaman aralýklarý için düzenli olarak otomatik baðlantý kuralabilecek ve önceden kaydedilen komutlar gönderilerek çýktýlarý servis edilebilecek þekilde hazýrlanmýþ olacaktýr.
2012	2012/07607	SOSYAL MEDYA TAKÝBÝ DESTEKLÝ AKSAKLIK YÖNETÝM SÝSTEMÝ	YAKUP TARIK KRANDA-MAHMUT SEZENOL				"Firma hizmetlerinin kesintisiz ve kaliteli olarak sürekliliðinin saðlanmasý, süreçlerde aksama olmadýðýnýn sürekli olarak izlenmesi önemlidir. Örneðin GSM þebekelerinde kaliteli ve kesintisiz hizmetin verilebilmesi için önemli þebeke problemleri sürekli olarak takip edilmektedir. Buluþumuz kapsamýnda bu izleme tekniklerine sosyal medya kaynaklarýnýn düzenli olarak taranmasý sonucu elde edilen müþteri þikayetlerinin de baz alýnarak yeni alarm oluþturan otonom bir aksaklýk yönetim sistemi önerilmektedir.
Buluþ; GSM þebekelerine yönelik sosyal medya üzerinde yayýmlanan müþteri þikayetlerine yönelik metin þablonlarý ve doðal dil iþleme kurallarý dikkate alýnarak eðitilen sistemin, ilgili þikayet metni içerisinden problemin tipi ve lokasyon bilgisini elde etmesi sonucu yeni alarm oluþturmasý ve oluþturulan alarmýn 7x24 þebekeyi izleyen kiþiler tarafýndan deðerlendirilmeye alýnmasýný kapsamaktadýr. 
"
2012	2012/07608	UZAKTAN ACÝL DURUM AKTÝVASYON DEAKTÝVASYON SÝSTEMÝ	SONGÜL KALIN				"
Nerede ve hangi saatte olursa olsun insan hayatýný tehlikeye sokan bütün rahatsýzlýklarda, yaralanmalarda, kazalarda, patlamalarda ve afet durumlarýnda 112 Acil Ambulans Servisini aramanýz durumunda size en yakýn istasyondan adresinize tam teþekküllü bir ambulans ve ekip yollanýr.
Ambulans ulaþma süresi, size en yakýn istasyondaki ambulansýn görevde olup olmamasýna, trafik yoðunluðuna, hava-yol þartlarýna ve adres tarifinin doðruluðuna göre deðiþir. Ambulans ulaþma süresini uzatan faktörlerden trafik yogunlugu problemi araçlarýn hýzlý bir þekilde ambulansa yol vermesi bilinciyle aþýlmaya çalýþýlmaktadýr. 
Ülkemizde sürücüler, ambulanslarýn acil bir duruma yetiþmek için sirenlerini çalýþtýrdýðýna güven problemi yaþamaktadýrlar. Bu sebeple ambulansýn  olay yerine ulaþma süresi uzamaktadýr. Bu süreyi daha da kýsaltmak ve sürücülerdeki bu güvensizliði ortadan kaldýrmak amaçlý bir sistem tasarlanmýþtýr.
"
2012	2012/07964	TELEFON SENSÖRLERÝ ÝLE SESSÝZE ALIP MESAJ ATMAK	HACI MEHMET YILDIRIM KOÇDAÐ				Telefonlardaki sensorleri kullanarak telefonun çalmasý durumunda telefonun ekranýnýn ters çevrilerek sessize alýnmasý, ardýndan telefonu belirli bir açý ile tutarak kullanýcýya daha önceden tanýmlý olan bir mesaj yollanmasý.
2012	2012/08158	AKILLI KULLANICI HATA YÖNETÝM SÝSTEMÝ	MEHMET CEM YÜCEL 				"
Önerilen sistem aracýlýðý ile kullanýcýlarýn kullandýklarý sistemde karþýlaþtýklarý problemler ve uyarýlar hakkýnda teknik bilgiler daha hýzlý ve kaliteli olarak edinilebilecektir. Yapýlan hatalarýn bilgileri herhangi ekstra bir çalýþma olmaksýzýn elde edilecek, bu hatalara sýkça düþen kullanýcýlar geliþtirilecek olan sistemdeki istatistik yaklaþýmý sayesinde otomatik olarak bilgilendirilecektir. Þirket geneline özgü entegre alarm yapýlarý sayesinde ekstra zahmet harcamadan gerekli aksiyonlar tetiklenebilecektir. Ýleride oluþabilecek hatalar hakkýnda bilgi sahibi olunacaktýr.
"
2012	2012/08694	MÜÞTERÝ HÝZMETLERÝ YÖNETÝMÝ ÝÇÝN BÝR SÝSTEM VE YÖNTEM	HACI MEHMET YILDIRIM KOÇDAÐ-GÖRKEM ÇETÝN				"Mobil cihazlar üzerine yazýlacak bir uygulama ile sesli ve görüntülü müþteri hizmetleri verilmesi. Müþteri iþlem yapmak istediði firmanýn müþteri hizmetleri üzerinden bilgi almak yerine, bu uygulama ile sesli ve görüntülü olarak bilgi alabilir.
Örnek Olarak: 
Bir firma abonesi, bu uygulama üzerinden sesli olarak fatura bilgilerini sorgulayabilecek, uygulama cevap olarak kullanýcýya fatura bilgisini görsel olarak ekranda gösterecek ve sesli olarak da fatura bilgisi hakkýnda bilgi verecektir.
"
2012	2012/08806	MOBÝL ASÝSTAN 3RD PARTY ENTEGRASYONU VE ÝSTEK ETÝKETLERÝ	HACI MEHMET YILDIRIM KOÇDAÐ				Mobil cihazlar üzerine yazýlacak bir uygulama veya servis ile kullanýcýnýn konuþmasýný veya girdiði metini analiz edip, kullanýcýnýn ne yapmak istediðini anlayarak bir istek etiketi oluþturacak bu istek etiketi ile kullanýcýnýn isteðini ilgili içeriði temin edebilecek firmaya gönderip, içeriðin kendisini alýp kullanýcýya geri gösterecek bir sistem.
2012	2012/10992	KREDÝ TRANSFERÝ YAPILMASI ÝÇÝN BÝR SÝSTEM VE YÖNTEM	HACI MEHMET YILDIRIM KOÇDAÐ				"
Mobil uygulama üzerinden Ses ile para transferi, mobil uygulama üzerinden Ses ile paket satýn almak, mobil Uygulama üzerinden ses ile kontör(TL) yüklemek, mobil Uygulama üzerinden ses ile fýrsat satýn alma yapan bir sistem.
"
2012	2012/11067	TELEFONA GELEN MESAJLARIN UZAKTAN YÖNLENDÝRÝLMESÝ	HACI MEHMET YILDIRIM KOÇDAÐ-ÝBRAHÝM OKTAY-DÝLEK BAYHAN				Mobil cihazlar üzerine yazýlacak bir uygulama veya servis ile kullanýcýnýn talebi doðrultusunda bir mobil cihaz kontrol uygulamasý (web tabanlý veya masaüstü uygulamasý) kullanarak mobil cihaz üzerindeki uygulamanýn veya servisin aktif hale getirilip, gelen mesajlarý (sms,mms,email ve uyarýlarý) kullanýcýnýn mobil cihaz kontrol uygulamasýnda belirlediði numaraya veya ilgili hesaba yönlendiren veya ileten bir sistem.
2012	2012/11113	TELEFON ÜZERÝNDEN ARAYANI ARAMA SÝSTEMÝ	ERSÝN ERSOY				Cep telefonuna arama geldiðinde, karþý taraf ödemesin ben arayým diye düþünüldüðünde yapýlan, no?ya basarak çaðrýyý sonlandýrma. Lock?ý açmak için 4 haneli þifreyi girme. Cevapsýzlara gidip ordan numarayý bulma ve arama yapma. Bu oldukça zaman kaybettiren bir konu ve çözüm için þunu düþünüyorum: Arama geldiðinde yes ve no butonlarýnýn yaný sýra ?geri ara? butonu olsa ortada ve bu butona basýldýðýnda: 1- Network seviyesinde bir teknik çözüm geliþtirerek üreyen CDR kaydýnda arayan aranýlan deðerlerinin switch edilmesi saðlanabilir. 2- Telefona yüklenecek, patent kapsamýnda geliþtirilecek sistem ile ortadaki butona basýldýðýnda sistem harekete geçerek aramayý sonlandýrýp ayný numarayla tekrar arama yapmasý saðlanabilir. Özetle cep telefonlarýnda þebeke seviyesinde ya da client cihaz uygulama seviyesinde teknik bir çözüm oluþturarak arananýn tek bir tuþla arayan haline dönüþmesini saðlayacaðýz.
2012	2012/11118	ÝNSAN BAÐLI CÝHAZ ETKÝLEÞÝM SÝSTEMÝ	AVEDÝS BOYACI				Sahip olunan baðlý cihazlarýn (connected device) tek bir sistemden kolaylýkla izlenebilmesi ve yönetilebilmesi sistemdir. * Kendi cihazlarýný tanýmlayabilme, cihaz paylaþabilme * Güvenlik * Baðlý cihaza komut, dosya, içerik gönderebilme * Baðlý cihazýn komuta reaksiyon göstermesi - komutu uygulamasý * Baðlý cihazýn notifikasyon üretmesi * Baðlý cihazlarýn her yerden yönetilebilmesi
2012	2012/11124	TEK SÝFRE ÝLE KREDÝ KARTINDAN MOBÝL ÖDEME SÝSTEMÝ	ASLI KARATAY				Kullanýcýlar; web arayüzü,oncall yada sms gibi kanallar aracýlýðý ile yapýyý kullanma isteklerini GSM operatörüne iletirler.Kullanýcýlar taleplerini ilettikleri GSM operatörünün abonesi olduklarý için,operatörün veritabanýnda aboneye ait kimlik,adres,iletiþim vb bilgileri bulunmaktadýr.Bu bilgilere ilave olarak ullanýcýya ait banka yada farklý bankalarýn bilgileri,kredi kartý bilgileri vb ek detaylar operatör veritabanýna kaydedilir.Bilgilerin veritabanýna kaydedilmesi iþleminin baþarýlý olmasý durumunda, kulanýcýya 4 haneli þifre verilir.Online yada web arayüzü ile kredi kartý bilgisini gerektiren tüm platformlarda kendisine temin edilen þifre ile iþlemlerin daha kýsa sürede gerçeklenmesi saðlanmýþ olacaktýr.Online yada web arayüzü ile gerçekleþtirilen iþlemlerin sonucunun tahsilatý kredi kartýna yansýtýlacaktýr.Tahsilat sonrasýnda kullanýcýlarý teþvik amaçlý bonus yapýsý kurulmuþtur.
2012	2012/11125	MOBÝL CÝHAZLARDA ÝNTERAKTÝF VÝDEO	CAN HÜZMELÝ-OZAN SAÐLAM				"Mobil cihazlarda kullanýcý ile interaksiyona geçen videolar hazýrlanmasýna olanak saðlayan platform.
Þimdiye kadar varolan çözümler sadece DESKTOP ve LAPTOP cihazlarda çalýþýyor. Bu çözüm ile cep telefonlarýnda da ve tabletlerde de interaktif videolar oluþturulabilecek ve izlenebilecektir."
2012	2012/11864	ÇAÐRI ÜCRETÝNÝN ARANAN ABONE TARAFINDAN ÖDENMESÝNÝ SAÐLAYAN PLATFORMUN AKIÞINA ÝLÝÞKÝN YÖNTEM	ÝSMAÝL ÖZKAN				Özellikle prepaid hat sahipleri veya kýsýtlý bütçesi bulununan faturalý hat sahipleri, yeterli bakiyeleri olmadýðýnda veya bütçelerini aþtýðýnda cep telefonundan çaðrý yap(a)mamaktadýr. Bu buluþ, yurt içi ve yurt dýþýndaki abonelerin (prepaid ve faturalý hat sahipleri) yaptýðý çaðrýlar için, ücretlendirmenin karþý taraf (aranan abone) tarafýndan karþýlanmasýný saðlayan uygulamanýn (ödemeli arama) akýþýna iliþkin bir yöntem içermektedir. Bu sayede, arayan aboneler herhangi bir ücret ödemeden konuþma imkanýna kavuþmaktadýr.
2012	2012/12179	GERÝ ÇALDIRMA TONU OLUÞTURMAK ÝÇÝN BÝR SÝSTEM VE YÖNTEM	HACI MEHMET YILDIRIM KOÇDAÐ				Karþý tarafý arama sýrasýnda arayan veya aranan kiþinin þebeke tarafýndan dinletileceði sesi, daha önceden tanýmlý kiþilerin seslerinden, kullanýcýnýn belirlediði içeriðe göre söylenmesi. Famous one's TTS as Ringback Tone. Kullancýnýn bir uygulama ile sesli veya yazýlý olarak belirleyeceði içeriðin kullanýcý tarafýndan seçilen (Tanýmlý kiþiler arasýndan) kiþinin sesibe benzetilerek TTS ile hazýrlanmasý ve kendisini arayan kiþilere bu içeriðin sunulmasý. TTS içerisine arka fon müziði eklenebilir.
2012	2012/13244	BÝR AKSAKLIK YÖNETÝM SÝSTEMÝ VE YÖNTEMÝ	MEHMET ONUR SARKAN-MAHMUT SEZENOL-SEVCEN SÖKMEN				Bu buluþ, bir GSM(Global System for Mobile Communications - Mobil Ýletiþim için Küresel Sistem) þebekesi üzerinde, þebeke elemanlarýndan ASCII(American Standart Code for Information Interchange - Bilgi Deðiþimi Ýçin Amerikan Standart Kodlama Sistemi) standartýnda gelen alarmlarýn yönetiminin, hiçbir yazýlým geliþtirme olmadan, kullanýcý arayüzleri ile hýzlý bir þekilde uygulanmasýný saðlayan bir aksaklýk yönetim sistemi ile ilgilidir.
2012	2012/13964	TURKCELL TELEKONFERANS+	ONUR ÖNEÞ-HACI MEHMET YILDIRIM KOÇDAÐ				Servis Outlook veya herhangi bir toplantý organize edebilecek ortam ile entegre olabilir. Toplantý daveti geldiðinde katýlýmcýlar katýlým durumlarýný turkcell telekonferans+ þeklinde seçebilir. Toplantý zamaný geldiðinde katýlýmcýlar servis üzerinden telefon numaralarý bulunarak aranýr. TTS ile toplantý hakkýnda bilgi verilerek katýlým durumlarý STT veya tuþlama ile bildirirler. Daha sonra sistem katýlýmcýlarý tek bir konuþma ile bir araya getirip, Organizatörü dahil eder. Organizatör önceden veya sonradan telekonferansa katýlabilir. Katýlýmcýlarýn katýlým durumuna istinaden alýnan bilgi anlýk olarak organizatöre iletilir.
2012	2012/13966	SOSYAL MEDYADA GSM TABANLI LOKASYON	ONUR ÖNEÞ				"Olaðanüstü durumlar, özel etkinlikler gibi veya hareketliliðin yaþandýðý belirli alanlardan yapýlan sosyal medya paylaþýmlarý, olayý yaþayan kiþilerin ilk aðýzdan yaptýðý paylaþýmlar olarak en doðru ve en güncel bilgiyi içermektedir. Bu nedenle belirli lokasyonlarda sosyal medyada yapýlan paylaþýmlara ulaþmak ve paylaþýmlarýn birlikte ele alýnmasý/kullanýlmasý ihtiyacý bulunmaktadýr.
Mevcut yapýda kullanýcýlar, mobil operatörler üzerinden sosyal medyada yaptýklarý paylaþýmlarý çoðunlukla cep telefonu üzerinden yapmaktadýr. Cep telefonu ile yapýlan paylaþýmlarda lokasyon verisininin paylaþýlabilmesi için cep telefonu modelinin bu yetkinliðe sahip olmasý ve paylaþým için kullanýlan uygulamada lokasyonumu gönder seçeneði iþaretli olmasý gerekmektedir.
Buluþ; coðrafi alan kapsamýnda sosyal medyada yayýmlanan paylaþýmlarýn lokasyonunun GSM þebekesi aracýlýðý ile bulunmasýný ve paylaþým metnini 7x24 þebekeyi izleyen kiþiler tarafýndan deðerlendirilmeye alýnmasýný kapsamaktadýr."
2012	2012/14104	YAKIN ALAN ÝLETÝÞÝMÝ DESTEKLEYEN BÝR ELEKTRONÝK CÝHAZ	KEMAL BURAK YÖNDEM-ALP SARDAÐ-RAHMÝ CEM ÇEVÝKBAÞ-ÝBRAHÝM REFHAN ÖZGÖRÜR-ERGÝ ÞENER				Bu buluþ ile amaçlanan, yüksek maliyetli sadakat POS akýþýný deðiþtirmek yerine, NFC için kullanýlan, SE üzerindeki sadakat uygulamasýnýn mimarisini deðiþtirerek, çoklu ödeme sadakat uygulamalarýnýn sahadaki eski POS sadakat akýþlarýyla çalýþabilmesini saðlamaktýr. Bu mimari sayesinde, ödeme sadakat kartý sahibi, NFC ile bütün kartlarýný "secure element" üzerine güvenli bir þekilde taþýyabilecek ve alýþveriþ deneyiminde eskiye göre bir farklýlýk yaþamayacaktýr.
2012	2012/14588	ÇAÐRI MERKEZÝ PARAMETRÝK TEYÝT YAPISI	TUBA DEMÝR				"Çaðrý merkezlerinde kullanýlan teyit süreçlerinin iyileþtirilmesi
"
2012	2012/14713	WEBFORWARD BÝLGÝLENDÝRME 	CEMÝLE KAYA ÇÖLKESEN-SONAT ALAYBEYOÐLU				Daha önceden belirlenmiþ koþullarý  gerçekleyen abonelerin internet, mgb, mgbs apnlerinden GPRS baðlantýsý yaptýðý zaman bir web ara sayfa ile durumlarý hakkýnda bilgilendirilmesi.
2012	2012/14745	ABONELERE GERÇEK ZAMANLI KURAL BAZLI TEKLÝF SUNMA ALTYAPISI-RULE BASED MARKETING	EMRE DOÐAN, ÝREM PAKSOY, MUSTAFA BARIÞ KONACOÐLU, SERAP ALTINTOP, MURAT GÖKSEL BAÞLANGIÇ, EVREN DÝLBAZ				Rule Based Marketing Altyapýsý
2012	2012/14927	AD SERVING YAKLAÞIMINA BAÐLI ADSERVER YÖNLENDÝRMESÝ ÝLE ABONELÝK SATIÞI ÝÇÝN BÝR SÝSTEM VE YÖNTEM	ORHAN MÜLAYÝM-OZAN SAÐLAM				"Buluþ: Ad serving yaklaþýmýna baðlý AdServer yönlendirmesi ile online mobil operatör kullanýcýlarýna, mobil cihazlarý üzerinde gezindiði web sitesine veya kullandýklarý mobil uygulamaya göre abonelik satýþý için bir sistem ve yöntem
Buluþ ile birlikte Ad Serving yaklaþýmýna baðlý yönlendirme ile online mobil operatör kullanýcýlarýna, mobil cihaz üzerinde gezindiði web sitesine göre veya kullandýðý mobil uygulamaya göre abonelik satýþý gerçekleþtirilebilecektir. 
Yöntem ile birlikte, kullanýcýlarýn ihtiyaçlarý daha doðru ve isabetli bir þekilde belirlenerek, mobil data kullaným paketi ve diðer abonelikler sunulabilecek ve abonenin en doðru anda ihtiyacýnýn karþýlanmasý saðlanabilecektir. 
Mevcutta yer alan çözümler kullanýcýnýn aktif olarak tüm internet trafiðinin izlenmesi ile farklý çözümler sunulurken, buluþta belirtilen yöntem ile birlikte kullanýcýnýn trafik verisi izlenmeden, sadece kullanýmýna baðlý olarak önerilerde bulunulabilecektir. "
2012	2012/14931	MOBÝL OPERATÖR KULLANICILARINA SIM UYGULAMASI ÜZERÝNDEN ABONELÝK SATIÞI ÝÇÝN BÝR SÝSTEM VE YÖNTEM	ORHAN MÜLAYÝM-OZAN SAÐLAM				"Buluþ:  Mobil operatör kullanýcýlarýna gezindiði web sitesine göre veya farklý kanallardan gelen yönlendirmeye göre SIM uygulamasý üzerinden abonelik satýþý için bir sistem ve yöntem
 Buluþ ile birlikte çevrimiçi mobil operatör kullanýcýlarýna, mobil cihaz üzerinde gezindiði web sitesine göre veya kullandýðý mobil uygulamaya veya daha sonra eklenebilecek farklý notification sistemlerinden gelen yönlendirmelere baðlý olarak SIM kartlar üzerinde yer alan bir yeteneðin kullanýlmasý ile birlikte abonelik satýþý gerçekleþtirilebilecektir. 
"
2012	2012/15118	SMS TABANLI PAYLAÞIMLI ÖDEME SÝSTEMÝ	CANER KURTUL				Önerdiðimiz sistemin amacý, birden fazla kiþinin tek bir faturayý ortak ödemesini saðlamaktýr. Örnek olarak, restoranda toplu yemek yendiðinde, gelen faturaya bakarak herkesin kendi harcamasýný ödemesi ve faturanýn kapatýlmasý saðlanmaktadýr. Ödeme için kasa önüne gidip sýra bekleme ihtiyacý ortadan kaldýrýlmaktadýr. Her SMS sonrasýnda kalan bakiye cevap olarak dönmekte, böylelikle bakiyenin kolayca sýfýrlanmasý öngörülmektedir.
2012	2012/15119	 LOKASYON KRÝTÝK ÞEBEKE EKÝPMANLARI ÝÇÝN OTOMATÝK KOORDÝNAT GÜNCELLEME SÝSTEMÝ 	YAKUP TARIK KRANDA-SEVÝM GÜVEN				Buluþumuz kapsamýnda, coðrafi koordinat bilgisi kritik olan þebeke ekipmanlarýnýn (örneðin RNC, NodeB ler) hatalý koordinat bilgilerinin otomatik olarak tespit edilerek, güncellenmesini saðlayarak acil durumlarda doðru koordinat bilgileri ile hareket edilmesine yönelik bir sistem önerilmektedir. Sistem otomatik kontrol ve otomatik düzeltme iþlemi yaparak iþ gücü kazancý saðlamanýn yanýnda sayýlarý giderek artan lokasyon bazlý servislerin (Örneðin Ekip Mobil, Acil Aramalar, Eczane, Neredeyim, ?) daha doðru sonuçlar vermesinide saðlamakta ve manuel yönetimi çok zor olan, gözden kaçabilecek durumlarýn fazla olduðu bir problemi ortadan kaldýrmaktadýr.
2012	2012/15259	KONUM TABANLI TEKLÝF VERME VE ÝÞ TAKÝP SÝSTEMÝ	SERHAT TÜRKÝÇÝN-BARIÞ YAVUZ-ALÝ YÜKSEL				"GSM yetenekleri kullanýlarak, konuma göre iþ teklifi verme ve verilen iþi takip etmek için oluþturulmuþ bir servistir.
Doðru zamanda, doðru yerde, doðru kiþiye iþ teklifi verebilmek ve onlarý seçebilmek, böylece maliyeti düþürmek, operasyonu kolaylaþtýrmak ve yönetmek birçok firmanýn ihtiyacýdýr. Bunun için Turkcell GSM yetenekleri ile bu sorunu çözmeye yönelik servis geliþtirmiþtir.
"
2012	2012/15260	AD OVERLAYS FOR MULTIMEDIA WHICH IS PRODUCED BY MOBILE PHONES	BAHRÝ OKUROÐLU				"Mobile phones are generating a lot of media which is also shared on social networking sites. The patent idea here is adding an overlay ad over this multimedia generated on the phone. This ad can be a small text on one corner of the photo / video or some size of another image. 
This ad system can be used by the phone vendors or mobile operators which are producing their own mobile phones to create promoted phones which can be cheaper or providing some extra benefit to the subscriber like free voice minutes, SMSs, etc.
An example can be something like a small text overlay ?sponsored by CocaCola? at the right edge of the picture or some CocaCola icon on the video. 
This medium can be used by advertisers to reach to a wide set of people (contacts of the people using the phone). The overlay ads can be retrieved from a central location by the phone software to allow different ads to be displayed, or it can be some static hardcoded ad which can be for sponsored phone (like CocaCola phone)"
2012	2012/15261	AKILLI DURAK	YUSUF DAÐTEKÝN				Belediye otobüs duraklarýnda bekleyen kullanýcýlarýn akýllý cihazlarý aracýlýðý ile bulunduklarý duraktan geçen araçlarý ve duraða geliþ sürelerini görüp binmek istedikleri aracý seçerek, otobüsün o durakta durmasýnýn saðlanmasý. Otobüs ile mezkez arasýnda saðlanacak senkronizasyon ile, sürücü aracýný istek yapýlan istasyonda durduracaktýr. Araç duraða gelirken binecek yolcu varsa aracýn geldiði bilgisi kullanýcýlara iletilecektir.
2012	2012/15262	YOL TARÝFÝ	YUSUF DAÐTEKÝN				Ýki nokta arasýnda harket halindeyken mevcut navigasyon cihazlarýnýn gosterdiði standart rotalarýn aksine kullanýcý belirlediði bir noktayý(ÖR: harekte baþladýðý nokta) baþlangýç noktasý olarak seçip yolu kaydetmeye baslar ve belirlediði bir rotadan yol alarak varýþ noktasýna geldiðinde uygulama bu iki nokta arasýnda geçilen rotayý harita uzerinde iþaretleyerek kullanýcýya gosteririr kullanýcý bu royatýyý kaydederek bu iki nokta arasýnda özel bir rotaya sahip olur, dilerse bu iki nokta arasýnda kendi belirlediði yol tarifini arkadaþlarý ile paylaþarak onlara yol tarifi yapmýþ olur. Bu uygulama ile kullanýcý bilmediði bir yere giderken kendisini gitmek istediði yere goturen kiþinin bildiði, tarfik yogunlugu az yada kestirme yolu uygulamasýna kaydederek dilediði zaman kullanabilir, paylaþarak arkadaþlarýnýn da kullanmasýný saðlayabilir. 
2012	2012/15263	BULUT MÝMARÝLERÝ ÝÇÝN AKILLI YAZILIM YÜKLEME SÝSTEMÝ VE YÖNTEMÝ	KEMAL KAPLAN-ÖZGÜR RAHMÝ DÖNMEZ				Bulut mimarilerinde bulunan sanal makinalarýn yaratýlmasý sýrasýnda kurulan uygulamalarýn akýllý  bir sistem aracýlýðý ile þablon olarak kaydedilmesi ve bu þablon aracýlýðý ile gerektiði durumlarda yeni konfigürasyon parametreleri alarak yeni makinalarýn daha hýzlý bir þekilde kurulumunun saðlanmasý.
2012	2012/15264	SUNUCU KÜMESÝ ÜZERÝNDE TEK BÝR ANA DÜÐÜMÜ GARANTÝ EDEN SÝSTEM VE YÖNTEM	ÖZGÜR RAHMÝ DÖNMEZ 				Bu buluþ, sunucu kümesi üzerinde çalýþan uygulamalarda, küme yapýsýna uygun olmayan ve tek bir düðümde çalýþtýrýlmasý gereken düzenli iþlerin, seçilen bir ana düðüm üzerinde çalýþtýrýlmasýný garanti eden bir sistem ve yöntemle ilgilidir. Buluþumuz, yük devretme ile yüksek bulunurluk saðlar.
2012	2012/15312	RFID TABANLI ALIÞKANLIK TAVSÝYE SÝSTEMÝ	KAZIM UMUT AÞKIN				RFid teknolojisini kullanarak insanlarin cevresinde ziyaret ettikleri mekanlardan daha hizli faydalanmasini saglayan, zamandan ve (sirketlerin sunmus olduklari kampanyalar cercesinde) maddi olarak tasarruf etmelerini saglayan bir servistir.
2012	2012/15379	TELEKOMÜNÝKASYON KULLANIM VERÝSÝ ÜZERÝNDEN OLUÞTURULAN DEÐÝÞKENLERÝN OTOMATÝK OLARAK TANIMLANMASI VE HESAPLANMASI	MUSTAFA ESEN TUNA				"Telekomünikasyon abone ve kullaným verisi üzerinde iþ zekasý ihtiyaçlarý için statik kurallara baðlý tümle yapýlmakta ve ham veri yerine bu nitelikler raporlama ve tahminleme için kullanýlmaktadýr. Deðiþken havuzu dediðimiz bu sisteme yeni kurallar ilave etmek manuel olarak gerçekleþtirilmekte, her yeni deðiþken için yazýlým geliþtirme yapýlmasý gerekmektedir. Deðiþken havuzunu güncellemek maliyetli hesaplama gerektirdiðinden uzun ve belirli aralýklarda güncellenebilmekte, sýk frekanslý deðiþkenler modelleme ihtiyaçlarýnda kullanýlamamaktadýr.
Bu buluþta telekomünikasyon kullaným verisi üzerinden oluþturulan deðiþkenlerin otomatik olarak tanýmlanmasý ve hesaplanmasýný saðlamaktadýr. Saðlanan avantajlar:
1.	Yeni kullaným verisi deðiþkenlerinin parametrik olarak tanýmlanmasý
2.	Her deðiþkenin farklý zamanlarda ihtiyaca göre hesaplanmasý
3.	Kullanýcýsý olmayan deðiþkenlerin hesaplanmayarak sistem verimliliði saðlanmasý
4.	Sýk frekanslý deðiþkenlerin ilave edilebilmesi ve kullanýlabilmesi"
2012	2012/15392	VÝDEO KARNE	HANDE DERELÝ, OZAN SAÐLAM				"Okullarýn LMS sistemlerinde entegre olarak çalýþabilecek, dönem sonunda ve okul bitiminde öðrencinin karnesinin multimedia içerikler ile veli ve öðrencilere gönderimini saðlayacak bir uygulamadýr. 
Bu uygulama sayesinde ,öðretmen öðrencinin notunun yanýsýra veli ve öðrenci ile sözlü ve video üzerinden paylaþýmlarda ve önerilerde bulunabilir. Öðretmenin vücut dilinin verilen geribeslemenin doðru anlaþýlmasý açýsýndan çok fazla katkýsý olacaktýr.
Karne içeriði web üzerinden sunulabildiði gibi, doðru transcoding iþlemi ile herhangi bir mobil cihaza uyumlandýrýlarak sunulabilecektir. Ýçerikler ,karne raporu ile birlikte indirilebilir ve saklanabilir olacaktýr. "
